pool	chain	project	symbol	tvl	apyBase	apyReward	apy	cnt	outlier	cls	prob	corr.apy.tvl	corr.apy.tvl.ma30
686e41b7-af2a-4efc-aeb5-6400d11a7bb1	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
515550a3-e494-4343-bc0a-e717a5174ff3	Solana	solend	USDC	440307	2.35488	6.1734	8.52828	66	False	Down	73.0	0.6760003696090046	-0.8956939321105388
0d89c6f6-60ee-4f5f-8b28-b8e36e68c015	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
9a452153-a314-48c3-99fd-017aba4e01b0	Polygon	beefy	2eurp	430645	6.55131	0.0	6.55131	42	False	Down	65.0	-0.5871118960641636	0.055834319310859616
7a8fa154-3136-4177-8cb7-37a85617a65f	Binance	dforce	USX	425114	7.85006	0.0	7.85006	64	False	Down	84.0	-0.9341899190223129	-0.9430439520233137
43550abe-c751-47a5-96b1-77778cbc1808	Optimism	tarot	USDC	412236	4.96652	0.0	4.96652	6	False	Down	51.0	-0.43052036818170153	-0.43052036818170153
8eba2b46-be53-43fa-ac15-9ebf45d97228	Polygon	dforce	USX	411920	9.96992	0.0	9.96992	64	False	Down	92.0	0.7510967933707293	0.2686332560175538
cb7b3e39-fa1e-4533-a0b4-98f12fd0882d	Cronos	acryptos	USDC	409231	3.49	0.0	3.49	64	False	Stable/Up	53.0	0.17635251277791544	0.7730793504925559
ec6ee288-5a67-4cdf-a1d5-19d4905cb6c0	Avalanche	beefy	usdt	408691	4.34058	0.0	4.34058	122	False	Stable/Up	63.0	0.05222645223539853	0.34699323523795944
3067acd9-0003-47ad-a4df-9df85485fb7b	Polygon	hop-protocol	DAI	407291	0.66099	0.0	0.66099	38	False	Stable/Up	86.0	0.6751306926536823	0.7873779832898168
d634ab3e-9bb9-4822-afe2-369ebb5ea1f4	Polygon	beefy	2eur	401960	4.0872	0.0	4.0872	106	False	Stable/Up	54.0	-0.23569909922723753	-0.44161724129139124
dbbbbda6-169b-4d0b-bd7c-4bdb64d5962a	Avalanche	platypus-finance	USDC	396039	0.0	0.0	0.0	20	False	Unknown	0.0	0.6238533205958346	0.6238533205958346
7ea620f1-359c-49f5-a2f3-f4061e8552af	Solana	solend	USDH	394286	0.7957	0.0	0.7957	118	False	Stable/Up	74.0	-0.2871758930082952	-0.9734211941700269
2ca668a0-235d-4790-8e4f-31a0245b9403	Solana	solend	PAI	392108	2.33775	6.9509	9.28865	118	False	Down	66.0	0.5595045252848995	0.2747607842967109
dba42a88-8f2d-4a90-ad01-5a0517c731b1	Binance	bolide	BUSD	380085	8.7718	0.0	8.7718	22	False	Stable/Up	61.0	-0.20726290640980302	-0.20726290640980302
f5cee03c-8a23-445d-a55a-a622b2c66ae8	Ethereum	pickle	USDC	346005	1.64048	0.0	1.64048	121	False	Stable/Up	56.99999999999999	0.2794799144422403	0.6878351858613673
889ed248-860c-4425-a219-223aca75a745	Solana	solend	USH	334446	2.38166	8.0931	10.47476	55	False	Stable/Up	62.0	0.2418209137152231	-0.7816026101011982
b0b2fd7f-e32e-4171-b0b6-5d1a896e7dcb	Binance	dforce	DAI	327526	3.35151	0.0	3.35151	64	False	Stable/Up	75.0	-0.8701924710215608	-0.8274977217538372
4ebca3f6-a333-4073-84c5-2bd5ebca4d64	Optimism	dforce	USDC	324844	5.8347	0.0	5.8347	64	False	Stable/Up	53.0	-0.15400240765560014	-0.32915450520631967
48a59a75-7dfc-47e5-8850-9f0933ab4d0a	Ethereum	idle-finance	RAI	322856	8.00491	0.0	8.00491	94	False	Down	78.0	-0.05682815146510472	0.3186507495370124
cf26a669-38b1-4dcb-8294-5a59c798975d	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
3b770db4-8985-4a18-8a06-2f331ea3a162	Ethereum	wing-finance	USDC	322215	4.74905	5.95145	10.7005	8	False	Stable/Up	51.0	0.5712535834258637	0.5712535834258637
0ee1bf9c-131c-4ec2-89cd-df853af258f1	Fantom	robo-vault	USDC	322175	2.36796	0.0	2.36796	111	False	Stable/Up	60.0	-0.8801367381814111	0.30243936113689207
12a0aba6-8d08-4233-90c7-3868e88a7094	Solana	solend	USDC	313725	1.42616	0.0	1.42616	118	False	Down	51.0	0.5613385370678502	-0.9238794808530858
dcd35b19-aaf6-486e-ada7-fba8767ab757	Ethereum	dforce	USDC	310556	7.1216	0.0	7.1216	64	False	Down	73.0	-0.9061400891568173	-0.7199665429019404
9bf5be6b-9cbe-43e0-b055-66b456e81f0d	Optimism	dforce	USX	308856	8.49757	0.0	8.49757	54	False	Stable/Up	55.00000000000001	0.44120497028083155	-0.6314251848303524
5029002e-7ce4-4c8b-b9b2-8f7d41c1b8fe	Ethereum	idle-finance	USDC	305954	10.22272	0.0	10.22272	31	False	Down	71.0	-0.8791866890026786	-0.8854330522612732
144233d0-32a4-4143-ac81-cc88334ef33d	Arbitrum	hop-protocol	USDT	305327	5.24004	0.0	5.24004	38	False	Down	70.0	0.39661014562406044	0.41059828854699365
9113f404-48a9-45cd-afe5-243110cd3620	Ethereum	tokemak	DAI	304553	0.0	7.69497	7.69497	24	False	Down	87.0	-0.09531212110271196	-0.09531212110271196
7ec8d5b8-684e-4513-ac5d-3cd5ec6726df	Avalanche	vector-finance	MONEY	301399	27.13509	0.0	27.13509	23	True	Down	63.0	-0.009440727430610467	-0.009440727430610467
09bb01c4-4997-443e-a43c-2c9140914da5	Solana	solend	UXD	290429	3.33414	8.0533	11.38744	118	False	Down	77.0	0.13193175712003177	-0.03116896816998401
1fe4a510-d57d-4d56-afd9-5407e58948a4	Binance	acryptos	BUSD	287060	8.07	0.0	8.07	58	False	Down	60.0	0.5543117217762157	0.005912591903607865
13e7dd80-4e72-47e9-855e-e8fea224e1df	Solana	solend	USDH	285830	3.39576	8.1073	11.50306	110	False	Down	68.0	0.659943398821898	-0.12077811106295984
